1f60B,90,0,90
4iu2B,237,90,327
3f6qB,72,327,399
4bi8A,94,399,493
2o3bA,241,493,734
3h4sE,96,734,830
1mahA,533,830,1363
3p8bA,60,1363,1423
4kt6A,254,1423,1677
2r25A,166,1677,1843
2qc1B,212,1843,2055
2d5rA,252,2055,2307
1pq1A,147,2307,2454
3w0lA,426,2454,2880
3mcbB,58,2880,2938
3vpjA,146,2938,3084
1nw9A,91,3084,3175
3zeuD,230,3175,3405
3nybB,64,3405,3469
3fqdA,667,3469,4136
3mj7B,189,4136,4325
7ceiA,87,4325,4412
1kshA,164,4412,4576
4kt6B,161,4576,4737
1dfjE,124,4737,4861
1euvB,79,4861,4940
2o2vA,92,4940,5032
2fcwB,78,5032,5110
2dvwB,73,5110,5183
3o3mA,399,5183,5582
1gcqC,69,5582,5651
1xg2A,317,5651,5968
4g7xA,92,5968,6060
3fiiA,403,6060,6463
4bjjB,85,6463,6548
4e4wA,261,6548,6809
2qklB,90,6809,6899
2v1yA,88,6899,6987
1acbI,63,6987,7050
1jtdB,273,7050,7323
3dlqI,131,7323,7454
3fmoB,232,7454,7686
2o3bB,135,7686,7821
1ewyA,303,7821,8124
2mtaA,105,8124,8229
4bh6D,305,8229,8534
2omzB,105,8534,8639
2qc1A,74,8639,8713
3w2wA,618,8713,9331
4etpB,287,9331,9618
2a9kB,207,9618,9825
4a5uB,80,9825,9905
1pxvA,183,9905,10088
3bp6A,112,10088,10200
4m69A,284,10200,10484
3d7vA,144,10484,10628
3uvjB,196,10628,10824
1v74B,87,10824,10911
3f1sB,259,10911,11170
4dfcB,121,11170,11291
3mdbC,365,11291,11656
3aqbB,321,11656,11977
1hx1B,112,11977,12089
3w2wB,308,12089,12397
1kklH,86,12397,12483
4iu2A,205,12483,12688
3w0lB,598,12688,13286
4bjjA,106,13286,13392
1z3eB,67,13392,13459
1u0sY,118,13459,13577
1yvbI,111,13577,13688
3mmyA,354,13688,14042
1ktzB,106,14042,14148
3axjB,235,14148,14383
1ta3B,301,14383,14684
3bp6B,186,14684,14870
1nrjA,147,14870,15017
3onaB,66,15017,15083
3og6A,143,15083,15226
3q9nA,138,15226,15364
2vohA,155,15364,15519
2ajfE,174,15519,15693
3zyiA,395,15693,16088
2hqsA,412,16088,16500
1jmtA,98,16500,16598
4eukB,152,16598,16750
1n2cA,478,16750,17228
3d4uB,74,17228,17302
4bh6L,51,17302,17353
4hffB,99,17353,17452
2cg5A,266,17452,17718
3ourA,394,17718,18112
2hrkB,121,18112,18233
2apoA,304,18233,18537
4hluD,245,18537,18782
1kshB,141,18782,18923
1b6cA,107,18923,19030
2o2vB,82,19030,19112
1k5dB,146,19112,19258
1k5dC,344,19258,19602
1fc2C,44,19602,19646
1n2cE,274,19646,19920
3zeuE,337,19920,20257
3di3B,193,20257,20450
4je3A,244,20450,20694
2b59A,166,20694,20860
2j3rA,158,20860,21018
4fouC,95,21018,21113
2b59B,156,21113,21269
4kbmA,386,21269,21655
2oznB,131,21655,21786
1t6bX,676,21786,22462
4awxA,252,22462,22714
1ib1A,227,22714,22941
1eerA,166,22941,23107
3ckiA,256,23107,23363
3mdbA,98,23363,23461
4apxA,208,23461,23669
2qxvA,352,23669,24021
2d5rB,116,24021,24137
2v8sE,137,24137,24274
1mahF,61,24274,24335
2v1yB,166,24335,24501
3tgxB,115,24501,24616
1e6eA,457,24616,25073
2v8sV,93,25073,25166
2d74B,137,25166,25303
2wusA,335,25303,25638
1efnB,104,25638,25742
3cf4G,169,25742,25911
3gniA,335,25911,26246
3anwB,162,26246,26408
4hffA,152,26408,26560
1k74A,232,26560,26792
2o8vB,108,26792,26900
3m7fB,135,26900,27035
3ayhB,183,27035,27218
3mmyB,51,27218,27269
1k74D,272,27269,27541
1e4kC,172,27541,27713
1rlbE,174,27713,27887
2c5kT,89,27887,27976
1ktzA,82,27976,28058
2yajA,869,28058,28927
3vz9B,103,28927,29030
1nrjB,191,29030,29221
3b08B,58,29221,29279
3aqbA,135,29279,29414
4fq0B,182,29414,29596
4fq0C,80,29596,29676
3gniB,304,29676,29980
3mj7A,229,29980,30209
3vu9A,215,30209,30424
4joiD,118,30424,30542
2z0eB,118,30542,30660
3c5tA,104,30660,30764
4fouA,262,30764,31026
3zheA,399,31026,31425
2dohX,165,31425,31590
1jiwP,470,31590,32060
3d48R,195,32060,32255
2p7vA,151,32255,32406
2hqsH,108,32406,32514
4eukA,136,32514,32650
4f6uB,267,32650,32917
2j3rB,157,32917,33074
1efnA,57,33074,33131
4hopA,87,33131,33218
1z0jB,51,33218,33269
4eqaC,150,33269,33419
2yclB,309,33419,33728
3tu3B,526,33728,34254
2cg5B,71,34254,34325
3pv6A,214,34325,34539
4gedB,102,34539,34641
3bs5B,74,34641,34715
1e6eB,113,34715,34828
1gl4B,89,34828,34917
1tnrA,144,34917,35061
3cx8B,193,35061,35254
2o8vA,229,35254,35483
3p8bB,147,35483,35630
3zkqA,376,35630,36006
3zr4B,201,36006,36207
4h3kA,317,36207,36524
2wd5A,177,36524,36701
1eerB,213,36701,36914
3dgpA,62,36914,36976
4gn4B,108,36976,37084
4awxB,63,37084,37147
3begB,86,37147,37233
3dlqR,201,37233,37434
1f60A,440,37434,37874
1pxvC,111,37874,37985
1tnrR,139,37985,38124
1svdM,108,38124,38232
3fqdB,321,38232,38553
2fp4A,304,38553,38857
3m7fA,107,38857,38964
2yc2D,148,38964,39112
1dfjI,456,39112,39568
2h0dB,100,39568,39668
2wd5B,191,39668,39859
2ajfA,597,39859,40456
4apxB,238,40456,40694
3bs5A,83,40694,40777
2z0eA,315,40777,41092
3anwA,171,41092,41263
3vu9B,191,41263,41454
4a5uA,148,41454,41602
5wy5A,236,41602,41838
1itbB,310,41838,42148
4etpA,379,42148,42527
3onaA,158,42527,42685
1c1yB,77,42685,42762
1jiwI,105,42762,42867
1z5yE,136,42867,43003
2h0dA,97,43003,43100
3og6B,200,43100,43300
1h32A,260,43300,43560
1kklC,168,43560,43728
1ka9F,251,43728,43979
1ghqA,307,43979,44286
2xqrA,537,44286,44823
2y9wC,136,44823,44959
1hx1A,377,44959,45336
1n2cB,522,45336,45858
1te1B,190,45858,46048
4kt3B,127,46048,46175
2p7vB,68,46175,46243
3axjA,222,46243,46465
2ehbD,126,46465,46591
1k5dA,206,46591,46797
1udiE,227,46797,47024
1xg2B,151,47024,47175
1wpxB,204,47175,47379
3h4sA,359,47379,47738
3pv6B,112,47738,47850
1wkwA,191,47850,48041
3zyiB,303,48041,48344
1tdqA,271,48344,48615
1jmoH,259,48615,48874
2yclA,443,48874,49317
1nw9B,238,49317,49555
4f6uA,334,49555,49889
3tgxA,208,49889,50097
1euvA,221,50097,50318
2yajB,86,50318,50404
1z5yD,118,50404,50522
3d48P,165,50522,50687
1xqsA,264,50687,50951
1f34A,325,50951,51276
1ghqB,129,51276,51405
2g77A,331,51405,51736
3q87B,164,51736,51900
3ckiB,121,51900,52021
3mp7B,54,52021,52075
3ph0C,53,52075,52128
2c9xB,81,52128,52209
4g7xB,102,52209,52311
1jmoL,47,52311,52358
3shgB,61,52358,52419
4gn4A,129,52419,52548
2g2uB,165,52548,52713
1u0sA,86,52713,52799
1udiI,83,52799,52882
3cqcB,186,52882,53068
1rlbA,123,53068,53191
3cbjB,109,53191,53300
3ayhA,134,53300,53434
4gedA,268,53434,53702
3ph0A,60,53702,53762
5wy5B,189,53762,53951
2mtaL,124,53951,54075
2fp4B,393,54075,54468
2omzA,466,54468,54934
2v6xA,80,54934,55014
4dfcA,85,55014,55099
1ggpB,254,55099,55353
1ay7B,89,55353,55442
1kacA,185,55442,55627
2c9xA,373,55627,56000
3czuB,130,56000,56130
2hrkA,177,56130,56307
1ib1E,178,56307,56485
2rd7C,159,56485,56644
4e4wB,213,56644,56857
1e4kA,216,56857,57073
1zbxB,120,57073,57193
3viqB,85,57193,57278
3r07C,88,57278,57366
4nqwA,148,57366,57514
3begA,348,57514,57862
2rd7A,328,57862,58190
1zbdB,119,58190,58309
3mp7A,387,58309,58696
3b08A,151,58696,58847
1f34B,138,58847,58985
2wusR,87,58985,59072
4bi8B,163,59072,59235
3czuA,175,59235,59410
1ak4D,145,59410,59555
3r07A,255,59555,59810
2mtaH,373,59810,60183
4hopB,120,60183,60303
2oznA,133,60303,60436
1zbxA,197,60436,60633
3viqA,122,60633,60755
1glaF,161,60755,60916
4cdgC,122,60916,61038
1mg9A,84,61038,61122
3dgpB,63,61122,61185
4emjA,406,61185,61591
1ml0A,371,61591,61962
1gcqB,57,61962,62019
1z3eA,119,62019,62138
1mg9B,143,62138,62281
2fhzA,106,62281,62387
2fcwA,106,62387,62493
1tdqB,126,62493,62619
3vrdB,398,62619,63017
3di3A,118,63017,63135
3cpjG,438,63135,63573
3fjuB,65,63573,63638
1svdA,445,63638,64083
4g6tB,71,64083,64154
3vrdA,174,64154,64328
3s97A,266,64328,64594
1itbA,153,64594,64747
1ak4A,165,64747,64912
3bh7B,314,64912,65226
3cx8A,319,65226,65545
4e6nA,407,65545,65952
4m70B,91,65952,66043
3nybA,323,66043,66366
2v9tA,107,66366,66473
4h3kB,189,66473,66662
3uvjA,191,66662,66853
4emjB,106,66853,66959
4je3B,77,66959,67036
3cf4A,766,67036,67802
4g6tA,128,67802,67930
4nqwB,73,67930,68003
3tu3A,119,68003,68122
1e96B,185,68122,68307
1v74A,107,68307,68414
3mcbA,54,68414,68468
1qa9A,102,68468,68570
2qklA,121,68570,68691
3zheB,390,68691,69081
1t6bY,170,69081,69251
3f6qA,169,69251,69420
4m70H,112,69420,69532
2apoB,52,69532,69584
3s97C,197,69584,69781
1qa9B,95,69781,69876
2y9wA,391,69876,70267
3fjuA,307,70267,70574
1gl4A,273,70574,70847
1ay7A,96,70847,70943
2c0lA,292,70943,71235
1wpxA,421,71235,71656
3vz9D,60,71656,71716
4hluA,265,71716,71981
1h32B,135,71981,72116
4e6nB,218,72116,72334
2c0lB,122,72334,72456
2fhzB,93,72456,72549
2ehbA,182,72549,72731
2g2uA,265,72731,72996
3cbjA,258,72996,73254
1glaG,489,73254,73743
3shgA,198,73743,73941
1ggpA,234,73941,74175
4joiA,141,74175,74316
1ta3A,274,74316,74590
2b42A,364,74590,74954
4kt3A,138,74954,75092
3q87A,122,75092,75214
1jmoA,425,75214,75639
3ocdB,180,75639,75819
2d74A,403,75819,76222
4cdgA,625,76222,76847
1b6cB,326,76847,77173
2dvwA,229,77173,77402
2ot3A,253,77402,77655
2yc2A,132,77655,77787
2v4zB,122,77787,77909
1ewyC,98,77909,78007
7ceiB,127,78007,78134
1r8sE,187,78134,78321
3fmoA,421,78321,78742
3o3mB,373,78742,79115
3cqcA,247,79115,79362
4kbmB,148,79362,79510
4YOCA,882,79510,80392
5WMMA,870,80392,81262
5E6UA,583,81262,81845
4QJ3B,756,81845,82601
4CGYA,619,82601,83220
5K04A,732,83220,83952
4L79A,734,83952,84686
6C90A,694,84686,85380
4MH0E,627,85380,86007
6X07A,613,86007,86620
4CI6B,576,86620,87196
6I8GA,618,87196,87814
4CJ0A,534,87814,88348
6OQ7A,541,88348,88889
4YOCC,529,88889,89418
6L4OA,429,89418,89847
5IMTA,460,89847,90307
5C46E,469,90307,90776
6C0BA,506,90776,91282
6E8EA,468,91282,91750
5XBFA,467,91750,92217
4US0S,454,92217,92671
4TX3B,457,92671,93128
5CM8A,419,93128,93547
4UAFB,425,93547,93972
5CECA,401,93972,94373
5KP7A,410,94373,94783
6AW3B,351,94783,95134
4ZGYA,383,95134,95517
6FCVB,365,95517,95882
4TX3A,373,95882,96255
7BXFA,369,96255,96624
4QAMA,364,96624,96988
4N80A,399,96988,97387
4HT3B,393,97387,97780
6L1YA,341,97780,98121
5WXKA,375,98121,98496
4YC7B,291,98496,98787
6I4EA,351,98787,99138
4XGAA,347,99138,99485
5MU7A,371,99485,99856
6KP3A,357,99856,100213
5CXBB,352,100213,100565
6X90B,344,100565,100909
6L59B,331,100909,101240
5XVEA,331,101240,101571
5KYCB,340,101571,101911
6RLLB,303,101911,102214
6EI1A,335,102214,102549
6JZYA,342,102549,102891
6ZMDB,332,102891,103223
5CZDA,301,103223,103524
4ZGNA,279,103524,103803
6FV0A,270,103803,104073
4X33B,325,104073,104398
6CH3A,324,104398,104722
6KIPB,272,104722,104994
6W2LA,328,104994,105322
4M0WA,317,105322,105639
4BMPA,290,105639,105929
6G4JA,273,105929,106202
5BZ0A,248,106202,106450
4XLGA,260,106450,106710
5FFNA,311,106710,107021
5MAWD,260,107021,107281
6U3WB,291,107281,107572
4RCAA,300,107572,107872
5L2WB,270,107872,108142
6ACIA,304,108142,108446
6KIPA,293,108446,108739
5YNMA,290,108739,109029
6U3WA,303,109029,109332
5IL2B,284,109332,109616
6GHOB,274,109616,109890
6RTWA,277,109890,110167
6LKIA,294,110167,110461
5H65A,289,110461,110750
5U8CA,284,110750,111034
4X6RB,290,111034,111324
5JQSA,251,111324,111575
5VXMA,243,111575,111818
5XLYA,267,111818,112085
5ZWLG,254,112085,112339
6QTAA,258,112339,112597
6VCLA,275,112597,112872
6Y4LA,271,112872,113143
5OE7A,266,113143,113409
4WEMA,248,113409,113657
